麺	めん
学徒	がくと
首都	しゅと
先進	せんしん
性	さが
性	しょう
性	せい
性	なりくせ
今や	いまや
肩	かた
尽力	じんりょく
生む	うむ
産む	うむ
現状	げんじょう
滑稽	こっけい
非難	ひなん
批難	ひなん
戻る	もどる
数ヶ月	すうかげつ
要求	ようきゅう
応じる	おうじる
診療所	しんりょうしょ
診療所	しんりょうじょ
払う	はらう
昔馴染み	むかしなじみ
部屋	へや
買う	かう
医者	いしゃ
提示	ていじ
価格	かかく
驚く	おどろく
愕く	おどろく
駭く	おどろく
文句	もんく
支払う	しはらう
数年	すうねん
遠縁	とおえん
事情	じじょう
飲み込む	のみこむ
のみ込む	のみこむ
飲込む	のみこむ
呑み込む	のみこむ
呑込む	のみこむ
金	かね
金	きん
金	こがね
積む	つむ
我が	わが
我	わが
吾が	わが
友	とも
朋	とも
建築家	けんちくか
出版	しゅっぱん
竦める	すくめる
対策	たいさく
苦慮	くりょ
中止	ちゅうし
感染	かんせん
拡大	かくだい
橋	きょう
橋	はし
逮捕	たいほ
検討	けんとう
選択	せんたく
純粋	じゅんすい
見極める	みきわめる
教師	きょうし
欧州	おうしゅう
欧洲	おうしゅう
財団	ざいだん
供給	きょうきゅう
記録媒体	きろくばいたい
寸法	すんぽう
気軽	きがる
貧乏	びんぼう
貧棒	びんぼう
嬉しい	うれしい
鼠	ねず
鼠	ねずみ
撮る	とる
懐かしい	なつかしい
憧れる	あこがれる
憧憬れる	あこがれる
憬れる	あこがれる
独身	どくしん
寂しい	さびしい
淋しい	さびしい
寂しい	さみしい
宣伝	せんでん
敬語	けいご
八重歯	やえば
禁物	きんもつ
言い切る	いいきる
言切る	いいきる
歯列	しれつ
嫌悪	けんお
衛生的	えいせいてき
幸せ	しあわせ
倖せ	しあわせ
仕合わせ	しあわせ
物差	ものさし
物差し	ものさし
物指	ものさし
物指し	ものさし
傾く	かたぶく
傾く	かたむく
唯一	ゆいいつ
唯一	ゆいつ
飽きる	あきる
厭きる	あきる
倦きる	あきる
倦る	あきる
幸い	さいわい
早速	さっそく
直ぐに	すぐに
決断	けつだん
頻繁	ひんぱん
紛失	ふんしつ
疑問	ぎもん
投稿	とうこう
参照	さんしょう
常に	つねに
購読	こうどく
弊社	へいしゃ
激怒	げきど
更新	こうしん
激しい	はげしい
劇しい	はげしい
烈しい	はげしい
泡	あぶく
泡	あわ
勘違い	かんちがい
過剰摂取	かじょうせっしゅ
曰く	いわく
増加	ぞうか
糖尿病	とうにょうびょう
健康	けんこう
率いる	ひきいる
確認	かくにん
終了	しゅうりょう
購入	こうにゅう
店舗	てんぽ
店鋪	てんぽ
在庫	ざいこ
増える	ふえる
殖える	ふえる
仮定	かてい
怖い	こわい
恐い	こわい
謳う	うたう
無表情	むひょうじょう
浮かぶ	うかぶ
浮ぶ	うかぶ
泛かぶ	うかぶ
泛ぶ	うかぶ
滞在	たいざい
手軽	てがる
雑貨店	ざっかてん
給料	きゅうりょう
暇	いとま
暇	ひま
閑	ひま
捲る	まくる
捲る	めくる
大統領	だいとうりょう
収める	おさめる
納める	おさめる
汽船	きせん
衝撃	しょうげき
後者	こうしゃ
危うく	あやうく
落とす	おとす
落す	おとす
冷淡	れいたん
高慢	こうまん
如何なる	いかなる
賞賛	しょうさん
手口	てぐち
成功	せいこう
費やす	ついやす
束縛	そくばく
奇抜	きばつ
溢れる	あふれる
溢れる	あぶれる
呼び鈴	よびりん
音量	おんりょう
響く	ひびく
乱打	らんだ
拳	けん
拳	こぶし
騒々しい	そうぞうしい
騒騒しい	そうぞうしい
駈ける	かける
猛スピード	もうスピード
踏み鳴らす	ふみならす
一瞬	いっしゅん
血走る	ちばしる
狂乱	きょうらん
青ざめる	あおざめる
青褪める	あおざめる
乱れ	みだれ
息	いき
息	おき
息	そく
息	むすこ
代る代る	かわるがわる
問いかける	といかける
眼差し	まなざし
外す	はずす
謝罪	しゃざい
叫ぶ	さけぶ
責める	せめる
不幸	ふこう
原因	げんいん
様子	ようす
観る	みる
届く	とどく
切ない	せつない
遥か彼方	はるかかなた
優しい	やさしい
照らす	てらす
永遠	えいえん
誓う	ちかう
盟う	ちかう
淵	ふち
渕	ふち
渊	ふち
潭	ふち
足りる	たりる
泪	なみだ
喜び	よろこび
悦び	よろこび
歓び	よろこび
慶び	よろこび
抱き締める	だきしめる
夢	ゆめ
覚める	さめる
醒める	さめる
万歳	ばんざい
万才	ばんざい
万歳	ばんぜい
万歳	まんざい
午後	ごご
午后	ごご
午前	ごぜん
毎に	ごとに
南	みなみ
北	きた
南北戦争	なんぼくせんそう
北海道	ほっかいどう
学校	がっこう
天井	てんじょう
天才	てんさい
秋	あき
秋分	しゅうぶん
悪い	にくい
悪い	にくい
悪い	わるい
悪魔	あくま
朝	あさ
朝	あした
朝	ちょう
兄弟	きょうだい
兄弟	けいてい
姉妹	きょうだい
姉妹	しまい
姉	あね
姐	あね
姉	し
姉	ねえ
妹	いもうと
急ぐ	いそぐ
救急車	きゅうきゅうしゃ
番犬	ばんけん
従姉妹	いとこ
従姉妹	じゅうしまい
都市	とし
景色	けしき
委員	いいん
金魚	きんぎょ
歌詞	かし
歌舞伎	かぶき
短歌	たんか
写す	うつす
映す	うつす
海岸	かいがん
運ぶ	はこぶ
貴重	きちょう
英雄	えいゆう
終わる	おわる
終る	おわる
卒わる	おわる
畢わる	おわる
了わる	おわる
竟わる	おわる
衛星	えいせい
放送	ほうそう
宗教	しゅうきょう
教育	きょういく
弟	おと
弟	おとうと
弟	おとと
弟	てい
従兄弟	いとこ
従兄弟	じゅうけいてい
創造主	そうぞうしゅ
創造主	そうぞうぬし
地主	じぬし
意思	いし
両思い	りょうおもい
片思い	かたおもい
片想い	かたおもい
両親	ふたおや
両親	りょうしん
夏祭り	なつまつり
視界	しかい
江戸時代	えどじだい
音楽	おんがく
貸す	かす
藉す	かす
用紙	ようし
借りる	かりる
借金	しゃっきん
次元	じげん
身元	みもと
身許	みもと
参考	さんこう
參考	さんこう
去る	さる
京都	きょうと
北京	ぺきん
強敵	きょうてき
営業	えいぎょう
軽業	かるわざ
親切	しんせつ
深切	しんせつ
踏む	ふむ
践む	ふむ
履む	ふむ
切る	きる
銀行	ぎんこう
暗黒	あんこく
闇黒	あんこく
温度計	おんどけい
研ぐ	とぐ
砥ぐ	とぐ
磨ぐ	とぐ
験	しるし
験	ためし
広告	こうこく
試す	ためす
験す	ためす
問答	もんどう
応答	おうとう
回転	かいてん
廻転	かいてん
麦茶	むぎちゃ
早速	さっそく
禁止	きんし
中止	ちゅうし
自衛	じえい
奉仕	ほうし
致死	ちし
必死	ひっし
私書箱	ししょばこ
居心地	いごこち
下品	かひん
下品	げひん
化粧	けしょう
仮粧	けしょう
化粧	けそう
化粧	けわい
週	しゅう
住む	すむ
住所	じゅうしょ
衣食住	いしょくじゅう
春	はる
青春	せいしゅん
改正	かいせい
正月	しょうがつ
駐車場	ちゅうしゃじょう
真	しん
真	ま
地図	ちず
世紀	せいき
夕方	ゆうがた
夕焼け	ゆうやけ
競走	きょうそう
注文	ちゅうもん
註文	ちゅうもん
舞台	ぶたい
招待	しょうたい
宿題	しゅくだい
独立	どくりつ
旅券	りょけん
昼	ひる
町民	ちょうみん
町	ちょう
町	まち
街	まち
一石二鳥	いっせきにちょう
喫茶店	きっさてん
疑問	ぎもん
片道	かたみち
食堂	しょくどう
食堂	じきどう
荒野	あらの
荒野	あれの
荒れ野	あれの
荒野	こうや
曠野	こうや
爆発	ばくはつ
今夜	こんや
料金	りょうきん
浅い	あさい
預かる	あずかる
予言	かねごと
予言	よげん
預言	よげん
汗	あせ
汗	かん
汗腺	かんせん
遊星	ゆうせい
価値	かち
気圧	きあつ
電圧	でんあつ
暑中	しょちゅう
熱	ねつ
熱い	あつい
熱心	ねっしん
足跡	あしあと
足あと	あしあと
足跡	そくせき
遺跡	いせき
遺蹟	いせき
奇跡	きせき
奇蹟	きせき
乱暴	らんぼう
浴びる	あびる
日光浴	にっこうよく
醤油	しょうゆ
正油	しょうゆ
脂肪	しぼう
甘い	あまい
甘い	うまい
巧い	うまい
旨い	うまい
上手い	うまい
美い	うまい
美味い	うまい
余地	よち
余命	よめい
余る	あまる
誤解	ごかい
試行錯誤	しこうさくご
荒い	あらい
競争	きょうそう
争う	あらがう
争う	あらそう
改革	かいかく
改訂	かいてい
座席表	ざせきひょう
著者	ちょしゃ
著す	あらわす
著わす	あらわす
暗記	あんき
諳記	あんき
任せる	まかせる
委せる	まかせる
衣服	いふく
雰囲気	ふんいき
囲炉裏	いろり
位	い
位	くらい
胃	い
易しい	やさしい
移る	うつる
遷る	うつる
依る	よる
偉い	えらい
豪い	えらい
偉大	いだい
怒る	いかる
怒る	おこる
安息	あんそく
勢力	せいりょく
勢い込む	いきおいこむ
幾つ	いくつ
電池	でんち
池	いけ
温泉	おんせん
忙しい	いそがしい
忙しい	せわしい
多忙	たぼう
看板	かんばん
板挟み	いたばさみ
痛い	いたい
甚い	いたい
抱擁	ほうよう
頂戴	ちょうだい
大阪市	おおさかし
賛否	さんぴ
命	いのち
命	みこと
命	みこと
命	みょう
命	めい
祈る	いのる
祷る	いのる
紙芝居	かみしばい
岩手県	いわてけん
祝う	いわう
祝福	しゅくふく
羽	う
羽	はね
羽根	はね
羽子	はね
翅	はね
羽	ば
羽	ぱ
羽	わ
植える	うえる
植物	しょくぶつ
伺う	うかがう
授受	じゅじゅ
承る	うけたまわる
受け賜る	うけたまわる
承認	しょうにん
失う	うしなう
喪う	うしなう
失敗	しっぱい
失礼	しつれい
薄い	うすい
薄荷	はっか
疑う	うたがう
埋まる	うずまる
埋まる	うまる
穴埋め	あなうめ
尊敬	そんけい
手裏剣	しゅりけん
独占	どくせん
占う	うらなう
得る	うる
得る	える
心得	こころえ
泳ぐ	およぐ
游ぐ	およぐ
水泳	すいえい
栄養	えいよう
営養	えいよう
鋭い	するどい
血液型	けつえきがた
枯れ枝	かれえだ
爪楊枝	つまようじ
超える	こえる
越える	こえる
引越す	ひきこす
笑う	わらう
咲う	わらう
嗤う	わらう
笑顔	えがお
可笑しい	おかしい
選挙	せんきょ
望遠鏡	ぼうえんきょう
塩	えん
塩	しお
食塩	しょくえん
演歌	えんか
延ばす	のばす
伸ばす	のばす
延期	えんき
禁煙	きんえん
煙	けぶ
煙	けぶり
煙	けむ
煙	けむり
汚い	きたない
穢い	きたない
汚染	おせん
老いる	おいる
老ける	ふける
化ける	ふける
追う	おう
逐う	おう
掛ける	かける
懸ける	かける
追放	ついほう
王国	おうこく
黄昏	こうこん
黄昏	たそがれ
横綱	よこづな
横断	おうだん
西欧	せいおう
押す	おす
奥さん	おくさん
違犯	いはん
犯す	おかす
拝む	おがむ
偶像礼拝	ぐうぞうれいはい
拝啓	はいけい
補う	おぎなう
億	おく
遅刻	ちこく
贈収賄	ぞうしゅうわい
幼児	ようじ
幼い	いとけない
幼い	おさない
治まる	おさまる
直す	なおす
治す	なおす
政治	せいじ
収穫	しゅうかく
恐怖	きょうふ
恐怖	くふ
落つ	おつ
猿	さる
猿	まし
猿	ましら
大丈夫	だいじょうぶ
夫婦	ふうふ
夫婦	みょうと
夫婦	めおと
訪問	ほうもん
踊る	おどる
帯びる	おびる
黒帯	くろおび
感覚	かんかく
目覚ます	めざます
時計	ときはかり
時計	とけい
土圭	とけい
面接	めんせつ
赤面	あかつら
赤面	せきめん
降参	こうさん
香水	こうすい
化	か
加える	くわえる
硬貨	こうか
課税	かぜい
銀河	ぎんが
氷河	ひょうが
菓子	かし
貝	かい
貝	ばい
愉快	ゆかい
快速	かいそく
解決	かいけつ
灰色	はいいろ
皆既日食	かいきにっしょく
迫害	はくがい
見交わす	みかわす
交換	こうかん
返事	へんじ
返辞	へんじ
文部省	もんぶしょう
相変わらず	あいかわらず
あい変らず	あいかわらず
あい変わらず	あいかわらず
相変らず	あいかわらず
振替	ふりかえ
振り替	ふりかえ
振り替え	ふりかえ
振替え	ふりかえ
係員	かかりいん
係り員	かかりいん
欠点	けってん
欠く	かく
三角	さんかく
経済	けいざい
革命	かくめい
金額	きんがく
賢明	けんめい
算数	さんすう
複数	ふくすう
復数	ふくすう
数える	かぞえる
肩凝り	かたこり
硬い	かたい
緊い	かたい
堅い	かたい
固い	かたい
凝固点	ぎょうこてん
耳を傾ける	みみをかたむける
一割	いちわり
分割	ぶんかつ
慈悲	じひ
悲しい	かなしい
哀しい	かなしい
構える	かまえる
髪	かみ
散髪	さんぱつ
辛い	からい
辛い	つらい
辛い	づらい
枯れる	かれる
絡む	からむ
軽い	かるい
軽い	かろい
軽犯罪	けいはんざい
皮	かわ
皮肉	ひにく
乾く	かわく
乾杯	かんぱい
乾盃	かんぱい
乾燥機	かんそうき
寒い	さぶい
寒い	さむい
防寒	ぼうかん
完璧	かんぺき
完ぺき	かんぺき
完壁	かんぺき
完全主義者	かんぜんしゅぎしゃ
警察官	けいさつかん
血管	けっかん
管制塔	かんせいとう
観光	かんこう
夕刊	ゆうかん
梅干	うめぼし
梅干し	うめぼし
鉢巻	はちまき
鉢巻き	はちまき
缶詰	かんづめ
缶詰め	かんづめ
罐詰	かんづめ
罐詰め	かんづめ
患う	わずらう
川岸	かわぎし
河岸	かわぎし
願望	がんぼう
願望	がんもう
含蓄	がんちく
記す	きす
記す	しるす
誌す	しるす
識す	しるす
希望	きぼう
冀望	きぼう
季節	きせつ
喜ぶ	よろこぶ
悦ぶ	よろこぶ
歓ぶ	よろこぶ
慶ぶ	よろこぶ
机上の空論	きじょうのくうろん
裏技	うらわざ
権利	けんり
効く	きく
利く	きく
利く	きく
効く	きく
兆す	きざす
前兆	ぜんちょう
前徴	ぜんちょう
刻む	きざむ
築く	きずく
改築	かいちく
競う	きそう
競る	せる
喫煙	きつえん
鮨詰め	すしづめ
寿司	すし
鮓	すし
鮨	すし
雨天決行	うてんけっこう
諸君	しょくん
逆説	ぎゃくせつ
逆様	さかさま
逆さま	さかさま
倒さま	さかさま
倒様	さかさま
武士階級	ぶしかいきゅう
泣く	なく
哭く	なく
感泣	かんきゅう
永久歯	えいきゅうし
久し振り	ひさしぶり
久しぶり	ひさしぶり
旧約聖書	きゅうやくせいしょ
吸う	すう
喫う	すう
深呼吸	しんこきゅう
運転免許	うんてんめんきょ
清い	きよい
浄い	きよい
橋	きょう
橋	はし
歩道橋	ほどうきょう
共産	きょうさん
境	さかい
界	さかい
胸毛	むなげ
胸部	きょうぶ
雄叫び	おさけび
雄叫び	おたけび
準備	じゅんび
肩身が狭い	かたみがせまい
狭苦しい	せまくるしい
洗濯挟み	せんたくばさみ
結局	けっきょく
米航空宇宙局	べいこうくううちゅうきょく
積極	せっきょく
北極	ほっきょく
究める	きわめる
水玉	みずたま
勤務	きんむ
寝苦しい	ねぐるしい
苦い	にがい
苦労	くろう
冷蔵庫	れいぞうこ
口紅	くちべに
紅海	こうかい
偶然	ぐうぜん
偶像	ぐうぞう
隅隅	すみずみ
海草	かいそう
解毒薬	げどくやく
解毒剤	げどくざい
薬	くすり
薬	やく
掘る	ほる
配る	くばる
首	おうと
首	おひと
首	おびと
首	くび
頚	くび
頸	くび
首	こうべ
首	しゅ
首	つかさ
部首	ぶしゅ
曇る	くぐもる
曇る	くもる
蔵	くら
庫	くら
倉	くら
蔵	ぞう
比較	ひかく
遺訓	いくん
群衆	ぐんしゅ
群衆	ぐんしゅう
群衆	ぐんじゅ
群れる	むれる
警衛	けいえい
隠し芸	かくしげい
歓迎	かんげい
迎え撃つ	むかえうつ
邀え撃つ	むかえうつ
迎撃	げいげき
演劇	えんげき
鼻血	はなじ
鼻血	はなぢ
結婚	けっこん
険しい	けわしい
健康保険	けんこうほけん
冒険	ぼうけん
軒	けん
軒	のき
宇	のき
檐	のき
簷	のき
花粉	かふん
小麦粉	こむぎこ
網戸	あみど
湖	こ
湖	みずうみ
琵琶湖	びわこ
呼吸	こきゅう
雇う	やとう
傭う	やとう
交互	こうご
互いに	たがいに
初恋	はつこい
はつ恋	はつこい
濃い	こい
濃淡	のうたん
栄光	えいこう
幸福	こうふく
幸い	さいわい
幸せ	しあわせ
倖せ	しあわせ
仕合わせ	しあわせ
港	こう
港	みなと
湊	みなと
好む	このむ
居候	いそうろう
耕す	たがやす
降雨	こうう
毒	どく
炭鉱	たんこう
炭坑	たんこう
炭礦	たんこう
講演	こうえん
更ける	ふける
深ける	ふける
更改	こうかい
首肯	しゅこう
近郊	きんこう
被る	かぶる
冠る	かぶる
被る	かむる
被る	こうむる
氷点	ひょうてん
冷凍	れいとう
凍る	こおる
凍おる	こおる
氷る	こおる
谷底	たにそこ
谷底	たにぞこ
告げる	つげる
腰	こし
断る	ことわる
断わる	ことわる
細い	ほそい
細菌	さいきん
税込み	ぜいこみ
税込	ぜいこみ
語根	ごこん
屋根	やね
混乱	こんらん
混ぜる	まぜる
交ぜる	まぜる
雑ぜる	まぜる
砂	すな
砂糖	さとう
砂漠	さばく
沙漠	さばく
星座	せいざ
才媛	さいえん
祭る	まつる
祀る	まつる
野菜	やさい
愛妻	あいさい
稲妻	いなずま
電	いなずま
稲妻	いなづま
稲光	いなびかり
採る	とる
採取	さいしゅ
財布	さいふ
罪人	ざいにん
罪人	つみびと
坂道	さかみち
酒	さけ
探す	さがす
捜す	さがす
杯	さかずき
盃	さかずき
坏	さかずき
巵	さかずき
盞	さかずき
杯	つき
杯	はい
杯	はた
一杯	いっぱい
咲く	さく
誇る	ほこる
一冊	いっさつ
支局	しきょく
刺激的	しげきてき
刺さる	ささる
定規	じょうぎ
定木	じょうぎ
定める	さだめる
札	さつ
札	ふだ
刷る	する
摺る	する
込む	こむ
刷毛	はけ
雑誌	ざっし
複雑	ふくざつ
冷たい	つべたい
冷たい	つめたい
冷やす	ひやす
冷す	ひやす
皿	さら
盤	さら
算盤	そろばん
十露盤	そろばん
参る	まいる
散る	ちる
講師	こうし
牧師	ぼくし
形容詞	けいようし
台詞	せりふ
家路	いえじ
寺	じ
寺	てら
孤児	こじ
孤児	みなしご
児童	じどう
掃除	そうじ
駆除	くじょ
削除	さくじょ
冷静	れいせい
静か	しずか
閑か	しずか
水滴	すいてき
滴る	したたる
沈む	しずむ
沈思黙考	ちんしもっこう
湿す	しめす
加湿器	かしつき
実る	みのる
稔る	みのる
半島	はんとう
島流し	しまながし
幽閉	ゆうへい
閉める	しめる
閉じる	とじる
捨てる	すてる
棄てる	すてる
昔話	むかしばなし
弱震	じゃくしん
弱虫	よわむし
守る	まもる
護る	まもる
留守	るす
留主	るす
種	しゅ
種	たね
欧州	おうしゅう
欧洲	おうしゅう
拾う	ひろう
収拾	しゅうしゅう
周波数	しゅうはすう
船	ふね
舟	ふね
優柔不断	ゆうじゅうふだん
柔道	じゅうどう
宿命	しゅくめい
宿る	やどる
従順	じゅうじゅん
税務署	ぜいむしょ
助ける	たすける
援ける	たすける
救ける	たすける
佐ける	たすける
扶ける	たすける
輔ける	たすける
佑ける	たすける
助言	じょげん
助言	じょごん
焼く	やく
灼く	やく
照明	しょうめい
照る	てる
賞	しょう
招く	まねく
誘う	いざなう
誘う	さそう
猫	ねこ
将棋	しょうぎ
象棋	しょうぎ
象戯	しょうぎ
舗装	ほそう
装う	よそう
装う	よそおう
召す	めす
寝床	ねどこ
旧姓	きゅうせい
昇る	のぼる
上る	のぼる
登る	のぼる
政	まつりごと
無精	ぶしょう
不精	ぶしょう
妖精	ようせい
情けない	なさけない
情け無い	なさけない
情ない	なさけない
情無い	なさけない
城	き
城	しろ
城	じょう
万里の長城	はおんりのちょうじょう
万里の長城	ばんりのちょうじょう
蒸す	むす
蒸発	じょうはつ
一畳	いちじょう
畳替え	たたみがえ
職場	しょくば
退く	しりぞく
斥く	しりぞく
退く	どく
退く	のく
退く	ひく
嬰	えい
退却	たいきゃく
森林	しんりん
奥深い	おくふかい
奥深い	おくぶかい
大臣	だいじん
信じる	しんじる
信仰	しんこう
遭難信号	そうなんしんごう
針金	はりがね
延びる	のびる
追伸	ついしん
追申	ついしん
朝寝坊	あさねぼう
武者震い	むしゃぶるい
潮吹き	しおふき
優れる	すぐれる
傑れる	すぐれる
勝れる	すぐれる
女優	じょゆう
優柔	ゆうじゅう
速い	はやい
疾い	はやい
捷い	はやい
早い	はやい
猫背	ねこぜ
背く	そむく
晴耕雨読	せいこううどく
関税	かんぜい
仮説	かせつ
説く	とく
欠席	けっせき
見積もる	みつもる
引責辞任	いんせきじにん
実績	じっせき
一隻	いっせき
国籍	こくせき
豪雪	ごうせつ
初雪	はつゆき
設ける	もうける
接ぐ	つぐ
接ぐ	はぐ
専門	せんもん
專門	せんもん
祖先	そせん
同窓生	どうそうせい
階層	かいそう
双子	そうし
双子	ふたご
二子	ふたご
双眼鏡	そうがんきょう
掃く	はく
掃除機	そうじき
掃除器	そうじき
乾燥	かんそう
人造湖	じんぞうこ
倍増	ばいぞう
心臓の鼓動	しんぞうのこどう
生憎	あいにく
合憎	あいにく
愛憎	あいぞう
約束	やくそく
花束	はなたば
推測	すいそく
底無し	そこなし
摩損	まそん
損なう	そこなう
損う	そこなう
卒業	そつぎょう
返る	かえる
反る	かえる
村	むら
漁村	ぎょそん
子孫	しそん
孫娘	まごむすめ
尊い	たっとい
貴い	たっとい
尊い	とうとい
貴い	とうとい
太鼓	たいこ
袋	ふくろ
嚢	ふくろ
第一印象	だいいちいんしょう
平仮名	ひらがな
宝島	たからじま
国宝	こくほう
宅配便	たくはいびん
竹馬	たけうま
竹馬	ちくば
使徒達	しとたち
頼む	たのむ
恃む	たのむ
憑む	たのむ
卵	たまご
産卵	さんらん
便る	たよる
冗談	じょうだん
笑談	じょうだん
怪物	かいぶつ
哺乳	ほにゅう
恥ずかしい	はずかしい
羞ずかしい	はずかしい
赤恥	あかはじ
家畜	かちく
電柱	でんちゅう
氷柱	つらら
氷柱	ひょうちゅう
駐屯所	ちゅうとんじょ
貯金	ちょきん
珍しい	めずらしい
珍奇	ちんき
消費者	しょうひしゃ
逮捕状	たいほじょう
肉体	にくたい
疲労	ひろう
受付	うけつけ
受け付	うけつけ
受け付け	うけつけ
受付け	うけつけ
寄付	きふ
寄附	きふ
煙突	えんとつ
烟突	えんとつ
縫う	ぬう
努める	つとめる
勉める	つとめる
力める	つとめる
勤める	つとめる
務める	つとめる
募集	ぼしゅう
米粒	こめつぶ
連なる	つらなる
列なる	つらなる
庭	にわ
最低	さいてい
低い	ひくい
泥棒	どろぼう
泥坊	どろぼう
快適	かいてき
鉄棒	かなぼう
鉄棒	てつぼう
宮殿	きゅうでん
殿	しんがり
殿	との
殿	どの
綱渡り	つなわたり
塗る	ぬる
投票	とうひょう
投げる	なげる
一等賞	いっとうしょう
等しい	ひとしい
均しい	ひとしい
斉しい	ひとしい
湯桶読み	ゆとうよみ
反対党	はんたいとう
到着	とうちゃく
逃亡	とうぼう
盗賊	とうぞく
盗む	ぬすむ
封筒	ふうとう
円筒	えんとう
塔	とう
童話	どうわ
童	わっぱ
童	わらし
童	わらべ
童	わらわ
童	わらんべ
蜂	はち
銅メダル	どうメダル
盲導犬	もうどうけん
溶岩	ようがん
熔岩	ようがん
働く	はたらく
中毒	ちゅうどく
空飛ぶ円盤	そらとぶえんばん
外泊	がいはく
泊まる	とまる
泊る	とまる
豊富	ほうふ
鈍器	どんき
鈍い	おそい
鈍い	にぶい
鈍い	のろい
悲鳴	ひめい
音波	おんぱ
嬉し涙	うれしなみだ
血も涙もない	ちもなみだもない
悩む	なやむ
柔らかい	やわらかい
軟らかい	やわらかい
軟式テニス	なんしきテニス
辞任	じにん
任天堂	にんてんどう
未確認飛行物体	みかくにんひこうぶったい
息抜き	いきぬき
打つ	うつ
打つ	ぶつ
座布団	ざぶとん
座ぶとん	ざぶとん
座蒲団	ざぶとん
野良猫	のらねこ
愛猫家	あいびょうか
不眠	ふみん
練る	ねる
望郷	ぼうきょう
可燃	かねん
農家	のうか
人工知能	じんこうちのう
望む	のぞむ
失望	しつぼう
葉書	はがき
端書	はがき
端書き	はがき
読破	どくは
敗れる	やぶれる
雨量	うりょう
記憶容量	きおくようりょう
小麦	こむぎ
蕎麦	そば
蕎麦	そばむぎ
蕎麦	そまむぎ
原爆	げんばく
爆弾	ばくだん
野菜畑	やさいばたけ
鳥肌	とりはだ
肌寒い	はださむい
膚寒い	はださむい
肌寒い	はだざむい
憲法	けんぽう
忍者	にんじゃ
無法者	むほうしゃ
無法者	むほうもの
解放	かいほう
放射性	ほうしゃせい
火炎放射器	かえんほうしゃき
増幅器	ぞうふくき
幅跳び	はばとび
林檎	りゅうごう
林檎	りんご
苹果	りんご
林	はやし
空腹	くうふく
腹	はら
肚	はら
酔っ払う	よっぱらう
酔っぱらう	よっぱらう
裁判	さいばん
評判	ひょうばん
吹き替え	ふきかえ
版	はん
全般的	ぜんぱんてき
交番	こうばん
是非	ぜひ
金属	きんぞく
万年筆	まんねんひつ
悪筆	あくひつ
伏兵	ふくへい
兵営	へいえい
秒読み	びょうよみ
貧しい	まずしい
花瓶	かびん
花瓶	はながめ
政府	せいふ
看護婦	かんごふ
引用符	いんようふ
切符	きっぷ
完膚なきまで	かんぷなきまで
見舞う	みまう
開封	かいふう
福引き	ふくびき
副詞	ふくし
副社長	ふくしゃちょう
往復	おうふく
復讐	ふくしゅう
復しゅう	ふくしゅう
復讎	ふくしゅう
複製	ふくせい
国防	こくぼう
予防	よぼう
沸く	わく
沸点	ふってん
湯沸かし	ゆわかし
仏教	ぶっきょう
仏	ふつ
仏	ぶつ
仏	ほとけ
警報	けいほう
報う	むくう
酬う	むくう
豊か	ゆたか
貿易会社	ぼうえきがいしゃ
忘れっぽい	わすれっぽい
用心棒	ようじんぼう
指揮棒	しきぼう
赤ん坊	あかんぼう
隠れん坊	かくれんぼ
隠れん坊	かくれんぼう
脱帽	だつぼう
麦藁帽子	むぎわらぼうし
物欲しげ	ものほしげ
三枚目	さんまいめ
二枚目	にまいめ
一枚	いちまい
１枚	いちまい
一枚	ひとひら
迷子	まいご
迷惑	めいわく
迷宮	めいきゅう
満足	まんぞく
散乱	さんらん
乱す	みだす
常緑樹	じょうりょくじゅ
正夢	まさゆめ
夢遊病	むゆうびょう
娘心	むすめごころ
木綿	きわた
木綿	もめん
木綿	ゆう
綿密	めんみつ
巻き戻し	まきもどし
契約	けいやく
婚約	こんやく
理由	りゆう
禁輸	きんゆ
密輸	みつゆ
郵税	ゆうぜい
郵便局	ゆうびんきょく
予言者	よげんしゃ
予算	よさん
心地良い	ここちよい
仲良く	なかよく
仲よく	なかよく
陽光	ようこう
儀容	ぎよう
容疑者	ようぎしゃ
翌日	よくじつ
儀礼	ぎれい
上陸	じょうりく
大陸	たいりく
法律	ほうりつ
省略	しょうりゃく
侵略	しんりゃく
侵掠	しんりゃく
領事館	りょうじかん
治療	ちりょう
指輪	ゆびわ
指環	ゆびわ
書類	しょるい
年令	ねんれい
学齢	がくれい
零下	れいか
歴史	れきし
勤労者	きんろうしゃ
回顧録	かいころく
黙示録	もくしろく
議論	ぎろん
結論	けつろん
理論	りろん
台湾	たいわん
湾岸	わんがん
伝統	でんとう
楽団	がくだん
反対	はんたい
呉越同舟	ごえつどうしゅう
助け舟	たすけぶね
雲隠れ	くもがくれ
星雲	せいうん
雲海	うんかい
正直	しょうじき
騒ぐ	さわぐ
騒動	そうどう
呆然	ぼうぜん
販促	はんそく
視覚	しかく
微妙	びみょう
微妙	みみょう
在留資格	ざいりゅうしかく
整理	せいり
添える	そえる
副える	そえる
邦訳	ほうやく
惑星	わくせい
生息	せいそく
棲息	せいそく
栖息	せいそく
観測	かんそく
恒星	こうせい
必須	ひっす
造詣	ぞうけい
桜	さくら
櫻	さくら
大胆	だいたん
精度	せいど
改善	かいぜん
統計	とうけい
塾	じゅく
優先度	ゆうせんど
削る	けずる
梳る	けずる
削る	はつる
起床	きしょう
