麺	noodles<br><br>めん
緊急	urgent; pressing; emergency<br><br>きんきゅう
脱出	escape (漢語)<br><br>だっしゅつ
機材	machine parts<br><br>きざい
乗員	crew<br><br>じょういん
帰還	repatriation; return; (electrical) feedback<br><br>きかん
無しで	without<br><br>なしで
完全	completeness<br><br>かんぜん
開発中	under development<br><br>かいはつちゅう
並ぶ	to line up<br><br>ならぶ
一つ	one<br><br>ひとつ
未踏	untrodden<br><br>みとう
海底	bottom of the ocean<br><br>かいてい
小型	small size<br><br>こがた
安価	low price<br><br>あんか
大量	large quantity<br><br>たいりょう
潜水艇	submarine; submersible vessel<br><br>せんすいてい
海洋	ocean<br><br>かいよう
資源	resources<br><br>しげん
期待	expectation<br><br>きたい
補助	assistance; support; aid; ***auxiliary***<br><br>ほじょ
強化	strengthening<br><br>きょうか
外骨格	exoskeleton<br><br>がいこっかく
医療	medical care; medical treatment<br><br>いりょう
回復	recovery (from illness)<br><br>かいふく
見込む	to anticipate<br><br>みこむ
脊髄	spinal cord<br><br>せきずい
病気	illness<br><br>びょうき
困難	difficulty; distress<br><br>こんなん
対象	target; object (of worship, study, etc.); subject (of taxation, etc.)<br><br>たいしょう
波	wave<br><br>なみ
大学	university<br><br>だいがく
大学院	graduate school<br><br>だいがくいん
情報工学	computer science<br><br>じょうほうこうがく
研究科	(post)graduate course<br><br>けんきゅうか
山海	mountains and seas<br><br>さんかい
教授	professor<br><br>きょうじゅ
中心となる	to play a central role<br><br>ちゅうしんとなる
実機	real machine (as opposed to model or simulation)<br><br>じっき
小説	novel<br><br>しょうせつ
架空	aerial; overhead; fiction; fanciful<br><br>かくう
松下電器産業	Matsushita Electric Industrial<br><br>まつしたでんきさんぎょう
神戸	Kobe (port city near Osaka)<br><br>こうべ
学院	institute<br><br>がくいん
学部	department of a university<br><br>がくぶ
夫	husband<br><br>おっと
共同開発	joint development<br><br>きょうどうかいはつ
半身	half the body<br><br>はんしん
麻痺	paralysis; palsy; numbness; stupor<br><br>まひ
患者	patient<br><br>かんじゃ
常	ordinary, "just" (particle)<br><br>ただ
筋肉	muscle<br><br>きんにく
検知	detection<br><br>けんち
側	side (of something, or taking someone's side)<br><br>かわ
装着	equipping (熟語)<br><br>そうちゃく
人工	artificial<br><br>じんこう
伝える	to convey<br><br>つたえる
左右	left and right<br><br>さゆう
通常	common; general; normal; usual<br />つうじょう<br><br>つうじょう
単体	simple substance (e.g. chemical)<br><br>たんたい
福祉	welfare; well-being; social welfare; social security; social service<br><br>ふくし
物流	(physical) distribution; distribution of goods<br><br>ぶつりゅう
工事現場	construction site<br><br>こうじげんば
広く	widely<br><br>ひろく
米軍	the US armed forces<br><br>べいぐん
人命救助	lifesaving<br><br>じんめいきゅうじょ
従来	up to now<br><br>じゅうらい
先に	before<br><br>さきに
述べる	to state; to express; to mention<br><br>のべる
撤去	withdrawal; revocation; repeal<br><br>てっきょ
救護	relief, aid<br><br>きゅうご
二次	secondary<br><br>にじ
担う	to carry on shoulder<br><br>になう
効率	efficiency<br><br>こうりつ
役立つ	to be useful; to be helpful; to serve the purpose<br><br>やくだつ
地震	earthquake<br><br>じしん
噴火	eruption<br><br>ふんか
津波	tsunami<br><br>つなみ
被災地	area struck (by some disaster)<br><br>ひさいち
早い	early<br><br>はやい
発見	discovery<br><br>はっけん
保護	care; protection; shelter; safeguard; guardianship; favor; favour; patronage<br><br>ほご
向上	elevation ("going upwards"); rise; improvement; advancement; progress<br><br>こうじょう
防ぐ	to defend (against)<br><br>ふせぐ
選ぶ	to choose<br><br>えらぶ
倒壊	destruction<br><br>とうかい
残す	to leave (behind, over)<br><br>のこす
建設機械	construction machinery<br><br>けんせつきかい
供え	preparation; provision; guarding<br><br>そなえ
瓦礫	rubble<br><br>がれき
火災	conflagration<br><br>かさい
消防隊	fire brigade or company<br><br>しょうぼうたい
突入	rushing; storm into<br><br>とつにゅう
個所　箇所	passage; place; point; part<br><br>かしょ
侵入	penetration (*not* osmosis)<br><br>しんにゅう
放水	hose down<br><br>ほうすい
銃	gun<br><br>じゅう
備える	to prepare for<br><br>そなえる
調べる	to examine; look into<br><br>しらべる
水中	underwater<br><br>すいちゅう
捜索	search (esp. for someone or something missing); manhunt<br><br>そうさく
救助	relief<br><br>きゅうじょ
回収	collection<br><br>かいしゅう
消防庁	Fire and Disaster Management Agency<br><br>しょうぼうちょう
配備	deployment<br><br>はいび
式	ceremony<br><br>しき
消防	fire fighting<br><br>しょうぼう
種類	type, kind<br><br>しゅるい
了解	understood ("Roger")<br><br>りょうかい
理解	understanding<br><br>りかい
経る	to pass through ("experience")<br><br>へる
許す	to forgive/to permit<br><br>ゆるす
適当	suitable, adequate<br><br>てきとう
辞書	dictionary<br><br>じしょ
被害者	victim<br><br>ひがいしゃ
携帯	mobile (e.g., phone)<br><br>けいたい
往々にして	sometimes, occasionally<br><br>おうおうにして
バス停	bus stop<br><br>バスてい
散歩	stroll, walk<br><br>さんぽ
或は	or; possibly<br><br>あるいは
とは言え	nonetheless; be that as it may<br><br>とはいえ
況して	still more; to say nothing of; not to mention; still less (with neg. verb)<br><br>まして
且つ	yet; moreover; and<br><br>かつ
強ち	not necessarily<br><br>あながち
導入	introduction; bringing in; leading in; installation<br><br>どうにゅう
徐々に	little by little; gradually; quietly<br><br>じょじょに
知識	knowledge; information<br><br>ちしき
洗濯	washing, laundry<br><br>せんたく
現金	(adj-na,n) cash/ready money/mercenary/self-interested/(P)<br><br>げんきん
触る	to touch/to feel<br><br>さわる
不便	inconvenience<br><br>ふべん
感じる	(v1) to feel/to sense/to experience/(P)<br><br>かんじる
緑色	(adj-na,n) green/emerald green/green color of new foliage/verdure/(P)<br><br>みどりいろ
清涼飲料水	(n) soft drink<br><br>せいりょういんりょうすい
抵抗	(n,vs) electrical resistance/resistance/opposition/(P)<br><br>ていこう
見る	(v1,vt) (1) to see/to look/to watch/to view/to observe/(2) to look over/to look on/to assess/to examine/to judge/(3) (uk) to look after/to keep an eye on/to take care of/(4) to view (e.g. flowers, movie)/(5) (uk) (usu. after the -te form of a verb) to try/(P)<br><br>みる
違和感	(n) (1) uncomfortable feeling/feeling out of place/sense of discomfort/(2) malaise/physical unease/(P)<br><br>いわかん
左側通行	(n) Keep Left<br><br>ひだりがわつうこう
気付く	(v5k) to notice/to recognize/to recognise/to become aware of/to perceive/to realize/to realise/(P)<br><br>きづく
人	(ctr) (1) counter for people<br><br>り
褒める　誉める	(v1,vt) to praise/to admire/to speak well/(P)<br><br>ほめる
謙遜	(adj-na,n) humble/humility/modesty/(P)<br><br>けんそん
返す	to return (something)/to restore/to put back<br><br>かえす
眼鏡	(n) spectacles/glasses/(P)<br><br>めがね
新調	(n,vs) brand new<br><br>しんちょう
矯正	remedy<br><br>きょうせい
度	(n,n-suf,ctr) time (three times, each time, etc.)/times/(P)<br><br>たび
驚く	(v5k,vi) to be surprised/to be astonished/(P)<br><br>おどろく
本物	(n) genuine article/(P)<br><br>ほんもの
感動	(n,vs) being deeply moved emotionally/excitement/impression/deep emotion/(P)<br><br>かんどう
空港	(n) airport/(P)<br><br>くうこう
綺麗	(adj-na) (1) (uk) pretty/lovely/beautiful/fair/(2) clean/clear/pure/tidy/neat/(3) completely/entirely<br><br>きれい
完全	(adj-na,n) perfection/completeness/(P)<br><br>かんぜん
歯磨き	(n,vs) (1) dental brushing/brushing one's teeth/(2) dentifrice/toothpaste/tooth powder/(P)<br><br>はみがき
親子丼	(n) chicken and egg on rice/parent and child donburi<br><br>おやこどん
若い	(adj-i) young/(P)<br><br>わかい
女の子	(n) girl/(P)<br><br>おんなのこ
紐	string/cord<br><br>ひも
丸出し	(n) bare/exposed/undisguised/broad (provincial accent)<br><br>まるだし
着る	(v1) (1) to wear (in modern Japanese, from the shoulders down)/to put on/(2) to bear (guilt, etc.)/(P)<br><br>きる
何とも	(adv) nothing (with neg. verb)/quite/not a bit/(P)<br><br>なんとも
気を抜く	(exp) to lose focus/to let one's mind wander/to relax one's attention<br><br>きをぬく
自分	"myself"<br><br>じぶん
平気	coolness/calmness/composure/unconcern (peaceful mind)<br><br>へいき
帰国	(n,vs) return to one's country/(P)<br><br>きこく
公共	(n,adj-no) public/community/public service/society/communal/(P)<br><br>こうきょう
利用	(n,vs) use/utilization/utilisation/application/(P)<br><br>りよう
際	(n-adv,n) on the occasion of/circumstances/(P)<br><br>さい
音を出す	(exp) to produce a sound<br><br>おとをだす
日付	date/dating system<br><br>ひづけ
表記	(n,vs) declare/inscribing on the face of/publish (info)/list (prices)/address (package)/(P)<br><br>ひょうき
覚える	to remember/to recollect<br><br>おぼえる
靴屋	(n) shoemaker/shoe store/(P)<br><br>くつや
並ぶ	to line up; to rival; to match; to equal<br><br>ならぶ
反応	(n,vs) reaction/response/(P)<br><br>はんのう
素	origin/source/base/foundation/element<br>一字<br><br>もと、そ/す
机	desk<br><br>つくえ
写真	(n) photograph/(P)<br><br>しゃしん
平成	(n) Heisei era (1989.1.8- )/(P)<br><br>へいせい
把握	(n,vs) grasp/catch/understanding/(P)<br><br>はあく
列	(n) queue/line/row/column/sequence/string/(P)<br><br>れつ
開ける	(v1,vt) (1) to open (a door, etc.)/to unwrap (e.g. parcel, package)/(2) to open (for business, etc.)/(3) to empty/to clear out/to make space/to make room/(v1,vi) (4) to dawn/to grow light/(5) to end/(P)<br><br>あける
手持ち	(n) holdings/goods on hand/(P)<br><br>てもち
服	clothes (esp. Western clothes); counter for doses of medicine, gulps of tea, drags of a cigarette, etc.<br><br>ふく
比	ratio/proportion<br><br>ひ
種類	(n) (1) variety/kind/type/category/(ctr) (2) counter for different sorts of things/(P)<br><br>しゅるい
分ける	(v1,vt) to divide/to separate/to make distinctions/to differentiate (between)/(P)<br><br>わける
習慣	(n) custom/habit/manners/(P)<br><br>しゅうかん
暖冬	(n) mild winter/warm winter/(P)<br><br>だんとう
気象庁	(n) Meteorological Agency/(P)<br><br>きしょうちょう
平年	non-leap year/normal year (esp. as pertains to weather patterns, vegetative growth, harvest yields, etc.)<br><br>へいねん
過去	(n-adv,n) the past/bygone days/the previous/(P)<br><br>かこ
機関	(n) (1) mechanism/facility/engine/(2) agency/organisation/institution/organ/(P)<br><br>きかん
二酸化炭素	(n) carbon dioxide<br><br>にさんかたんそ
濃度	concentration/thickness/density<br><br>のうど
温室	(n) greenhouse/hothouse/conservatory/glasshouse/(P)<br><br>おんしつ
石炭	(n) coal/(P)<br><br>せきたん
半袖	(n) short sleeves/(P)<br><br>はんそで
気候	climate<br><br>きこう
作物	(n) literary work<br><br>さくぶつ
南極	(n) south pole/Antarctic/(P)<br><br>なんきょく
氷	ice<br><br>こおり
知恵	wisdom/wit/sagacity/sense/intelligence<br><br>ちえ
異常	abnormality; disorder<br><br>いじょう
深刻	serious (grave)<br><br>しんこく
馬鹿	fool/idiot/trivial matter/folly<br><br>ばか
賢い	(adj-i) wise/clever/smart/(P)<br><br>かしこい
平均	average/mean/ balance/equilibrium<br><br>へいきん
温暖	warmth<br><br>おんだん
発生	outbreak/spring forth/occurrence/incidence/origin<br><br>はっせい
努力	(n,vs) great effort/exertion/endeavour/endeavor/effort/(P)<br><br>どりょく
実感	true feelings<br><br>じっかん
過ごす	to pass/to spend/to go through/to tide over<br><br>すごす
燃やす	(v5s,vt) to burn/(P)<br><br>もやす
態度	(n) attitude/manner/behaviour/(P)<br><br>たいど
職組	employees' union<br><br>しょくそ
飾る	to decorate; to ornament; to adorn<br><br>かざる
携わる	to engage in; to participate; to take part<br><br>たずさわる
支店	branch store (office)<br><br>してん
希望	hope; wish; aspiration きぼう<br><br>きぼう
偽版	pirated edition<br><br>ぎはん
端役	minor role (e.g. in a movie)<br><br>はやく
合衆国	United States of America; federal state<br><br>がっしゅうこく
為に	for; for the sake of; to one's advantage; in favor of; in favour of; on behalf of; because of; as a result of<br><br>ために
流暢	fluent (language skill); flowing<br><br>りゅうちょう
記者会見	press conference<br><br>きしゃかいけん
怨む、恨む、憾む	to resent; to curse; to feel bitter; to blame; to bear a grudge; to regret<br><br>うらむ
感謝	thanks; gratitude<br><br>かんしゃ
勧める　奨める　薦める	to recommend; to advise; to encourage; to offer (wine)<br><br>すすめる
育てる	to raise; to rear; to bring up<br />to be raised (e.g. child); to be brought up; to grow (up)<br><br>そだてる
洗脳	brainwashing<br><br>せんのう
両方	both sides; both parties<br><br>りょうほう
放送	broadcast; broadcasting<br /><br><br>ほうそう
脚本	script; screenplay; scenario<br><br>きゃくほん
戦争	war<br><br>せんそう
提案	proposal; proposition; suggestion<br><br>ていあん
翻訳	translation; de-encryption; deciphering; rendering<br><br>ほんやく
漫画	comic; cartoon<br><br>まんが
視聴者	viewer; (television) audience<br><br>しちょうしゃ
字幕	subtitle (movie)<br><br>じまく
台詞	(style of) speech; words; one's lines; remarks [exception reading]<br><br>かはく、せりふ
博す	to win; to gain; to earn; to spread (one's name, etc.)<br><br>はくす
変換	change; conversion; transformation; translation<br><br>へんかん
文章	sentence; article; composition; (writing) style<br><br>ぶんしょう
規則	rules; regulations; conventions<br /><br><br>きそく
解析	analysis; analytical study; parsing; parse<br><br>かいせき
置き換える	to replace; to move; to change the position of<br><br>おきかえる
無駄	futility; uselessness; pointlessness<br><br>むだ
努力が掛かる	it takes effort<br><br>どりょくがかかる
自殺	suicide<br><br>じさつ
殺す	to kill<br><br>ころす
割と	relatively; comparatively<br><br>わりと
不確か	unreliable; uncertain; indefinite; unclear<br><br>ふたしか
詰り	in short; in brief; in other words; that is to say; in the long run; after all; blockade; stuffing; ultimate<br><br>つまり
熟語	idiom; idiomatic phrase; kanji compound<br><br>じゅくご
用いる	to use; to make use of<br><br>もちいる
印象	impression<br><br>いんしょう
目に留まる	to catch one's attention (eye)<br><br>めにとまる
留学	study abroad<br><br>りゅうがく
喋る	to talk; to chat; to chatter<br /><br><br>しゃべる
訂正	correction; revision ていせい<br /><br><br>ていせい
頂く	(HUMBLE) to receive; to get; to accept; to take; to buy<br><br>いただく
遅い	slow, late<br><br>おそい
遅れる	to be late<br><br>おくれる
近道	short way; shortcut<br /><br><br>ちかみち
聴く	to listen (e.g. to music)<br><br>きく
真似	mimicry; imitation; behavior; pretense [nonstandard reading]<br><br>まね
恐れる	to fear; to be afraid of<br><br>おそれる
添削	correction てんさく<br><br>てんさく
大変	very; greatly; immense; enormous; great; serious; grave; dreadful; terrible; difficult<br><br>たいへん
迷う	to lose one's way; to waver; to hesitate; to be of two minds over; to be puzzled; to be perplexed; to give into temptation; to lose control of oneself; to turn in one's grave<br><br>まよう
頑張る	to persist; to insist on; to stand firm; to try one's best ("keep trying")<br><br>がんばる
荷物	luggage; baggage; burden; payload (of a packet, cell, etc.)<br><br>にもつ
篤と	carefully; thoroughly; fully; deliberately<br /><br><br>とくと
習得	learning; acquisition<br><br>しゅうとく
顕微鏡	microscope<br><br>けんびきょう
慣れる	to grow accustomed to; to get too familiar with; to become domesticated; to become tame<br><br>なれる
美しい	beautiful<br><br>うつくしい
壊れる	to be broken; to break; to fall through; to come to nothing<br><br>こわれる
懐中電灯	electric torch; flashlight<br><br>かいちゅうでんとう
結ぶ	to tie; to bind; to link<br><br>むすぶ
連絡	contact, to get in touch<br><br>れんらく
触れる	to touch; to feel; to experience; to come in contact with; to be emotionally moved (by); to perceive; to touch on a subject; to allude to; to be in conflict (with)<br><br>ふれる
暮す	to live; to get along; to spend (time)　くらす<br><br>くらす
里	village; hamlet; countryside; country; home (of one's parents, etc.); hometown; one's origins; one's upbringing; one's past<br><br>さと
父	father<br><br>ちち
母	mother<br><br>はは
品	thing<br><br>ひん
訪ねる　訪れる	to visit<br><br>たずねる、おとずれる
皆	all, everyone<br><br>みんな
改めて	again; over again; anew<br><br>あらためて
犯罪	(n) crime/(P)<br><br>はんざい
専門家	(n) specialist/(P)<br><br>せんもんか
逝去	death (~norwood)<br><br>せいきょ
街	(n) (1) town/block/neighborhood/(2) street/road<br><br>まち
数多い	many; a multiplicity of (~Norwood)<br><br>かずおおい
君	(n,adj-no) (1) (male) (fam) you/buddy/pal/(2) (arch) monarch/ruler/sovereign/(one's) master/(P)<br><br>きみ
賛成	approval; agreement; support<br><br>さんせい
思える	(v1) to seem/to appear likely<br><br>おもえる
勝手	(adj-na,n) (1) one's own convenience/one's way/(2) convenience or ease of use/knowledge of how to use/(3) circumstances/situation (e.g. financial)/environment/(4) kitchen/(5) arbitrary/(P)<br><br>かって
微笑む	(v5m,vi) to smile/(P)<br><br>ほほえむ
朝食	(n) breakfast/(P)<br><br>ちょうしょく
椅子	chair<br><br>いす
引く	to pull<br><br>ひく
得	(adj-na,n) (1) profit/advantage/benefit/gain/(2) (Buddh) rebirth in paradise, entering nirvana/(P)<br><br>とく
損	(adj-na,n,n-suf) loss/disadvantage/(P)<br><br>そん
失業	(n,vs) unemployment/(P)<br><br>しつぎょう
除く	to exclude<br><br>のぞく
男	man; barbat<br><br>おとこ
活動	(n,vs) action/activity/(P)<br><br>かつどう
朝刊	(n) morning newspaper/(P)<br><br>ちょうかん
可能性	(n) potentiality/likelihood/possibility/availability/(P)<br><br>かのうせい
小さな	(adj-pn) small/little/tiny<br><br>ちいさな
痕跡	traces/vestige(s)<br><br>こんせき
兆候	(n) sign/indication/omen/symptom/(P)<br><br>ちょうこう
十分	(adj-na) (1) plenty/enough/sufficient/satisfactory/adequate/(n,vs) (2) division into ten/(adv) (3) perfectly/thoroughly/fully/in full/(P)<br><br>じゅうぶん
卓越	(n) excellence/superiority/(P)<br><br>たくえつ
悪辣	crafty; vicious<br><br>あくらつ
頭脳	(n) head/brains/intellect/(P)<br><br>ずのう
僕	(n) (1) (male) I/me/(2) you (used addressing young children)/(3) manservant/(P)<br><br>ぼく
巣	nest; rookery; breeding place; hive; den; haunt; (spider's) web<br><br>す
縁	(surrounding) edge<br><br>ふち
振動	(n,vs) oscillation/vibration/(P)<br><br>しんどう
中央	(n) centre/central/center/middle/(P)<br><br>ちゅうおう
潜む	(v5m,vi) to lurk/to lie dormant/to be hidden/to be concealed/(P)<br><br>ひそむ
汚らわしい	filthy/unfair, pervert<br><br>けがらわしい
蜘蛛	(n) spider/(P)<br><br>くも
匹	counter for small animals<br><br>ひき
暴く	(v5k,vt) to disclose/to divulge/to expose<br><br>あばく
窃盗	theft<br><br>せっとう
理不尽	(adj-na,n) unreasonable/irrational/(P)<br><br>りふじん
強盗	robbery/burglary ("grand theft")<br><br>ごうとう
無益	useless/futile/vain (Sherlock*)<br><br>むえき
傷害	wound; injury; accident; casualty; assault<br><br>しょうがい
手がかり	(n) (1) clue/key/trail/scent/track/contact/(2) handhold/on hand<br><br>てがかり
穴	hole; deficit; shortage; missing person (in a team, meeting, etc.); vacancy; opening; flaw<br><br>あな
高等	(adj-na,n) high class/high grade/(P)<br><br>こうとう
科学的	(adj-na) scientific<br><br>かがくてき
学徒	(n) student/follower/students and pupils/(P)<br><br>がくと
首都	(n,adj-no) capital city/metropolis/(P)<br><br>しゅと
先進	(n) seniority/advance/leadership/(P)<br><br>せんしん
性	(n,n-suf) (1) sex/gender/(2) nature/characteristic/(P)<br><br>せい
今や	(adv) now/(P)<br><br>いまや
肩	(n) shoulder/(P)<br><br>かた
尽力	(n,vs) efforts/assistance/(P)<br><br>じんりょく
生む　産む	(v5m,vt) to give birth/to deliver/to produce/(P)<br><br>うむ
現状	(n) present condition/existing state/status quo/(P)<br><br>げんじょう
滑稽	funny; humorous; humourous; comical; laughable; ridiculous; joking<br>熟語<br><br>こっけい
非難	(n,vs) blame/attack/criticism/(P)<br><br>ひなん
戻る	to go back<br><br>もどる
数ヶ月	(n) several months<br><br>すうかげつ
要求	demand; firm request; requisition; requirement<br><br>ようきゅう
応じる	(v1,vi) to respond/to satisfy/to accept/to comply with/to apply for/(P)<br><br>おうじる
診療所	(Watson's) "medical practice"<br><br>しんりょうじょ
払う	(v5u,vt) (1) to pay/(2) to brush/to wipe/(P)<br><br>はらう
昔馴染み	(n) old friend/familiar face<br><br>むかしなじみ
部屋	room<br><br>へや
買う	to buy<br><br>かう
医者	(n) (sens) (medical) doctor/physician/(P)<br><br>いしゃ
提示	exhibit<br><br>ていじ
価格	price/value/cost かかく<br><br>かかく
驚く	(v5k,vi) to be surprised/to be astonished/(P)<br><br>おどろく
文句	(n) (1) phrase/(2) complaint/(P)<br><br>もんく
支払う	to pay しはらう<br><br>しはらう
数年	(n) several years<br><br>すうねん
遠縁	(n) distant relative<br><br>とおえん
事情	(n) circumstances/consideration/conditions/situation/reasons/(P)<br><br>じじょう
飲み込む	(v5m,vt) (1) to gulp down/to swallow deeply/(2) to understand/to take in/to catch on to/to learn/to digest/(P)<br><br>のみこむ
金	(n) (1) money/(2) metal/(P)<br><br>かね
積む	(v5m) to pile up/to stack/to load (car, ship, etc.)/to pack/(P)<br><br>つむ
我が	(adj-pn) my/our/one's own/(P)<br><br>わが
友	(n) friend/companion/pal/(P)<br><br>とも
建築家	architect<br /><br><br>けんちくか
出版	しゅっぱん<br><br>publication
竦める	to shrug (shoulders); to duck (head); to draw back (body)<br><br>すくめる
対策	counter-plan; counter-measure<br><br>たいさく
苦慮	rack one's brains<br><br>くりょ
中止	suspension; stoppage; discontinuance; interruption<br><br>ちゅうし
感染	infection; contagion<br><br>かんせん
拡大	magnification; enlargement; expansion<br><br>かくだい
橋	bridge<br><br>はし
逮捕	arrest; apprehension; capture<br><br>たいほ
検討	consideration; examination; investigation; study; scrutiny; discussion <br>けんとう<br><br>けんとう
選択	selection; choice; option<br><br>せんたく
純粋	pure; true; genuine; unmixed<br><br>じゅんすい
見極める	to see through; to make sure ("to the end")<br><br>みきわめる
教師	teacher (classroom)<br><br>きょうし
欧州	Europe<br><br>おうしゅう
財団	foundation<br><br>ざいだん
供給	supply; provision<br />きょうきゅう<br><br>
記録媒体	media<br><br>きろくばいたい
寸法	measurement; size; extent; dimension<br><br>すんぽう
気軽	carefree; buoyant; lighthearted; sprightly; ease<br><br>きがる
貧乏	poverty; destitute; poor<br><br>びんぼう
嬉しい	happy; glad; pleasant<br>漢字一字<br><br>うれしい
鼠	mouse; rat; dark gray; dark grey; slate (color, colour)<br><br>ねずみ
撮る	to take (a photo); to make (a film)<br><br>とる
懐かしい	dear; desired; missed ("old times")<br><br>なつかしい
憧れる	to long for; to yearn after; to admire; to be attracted by<br><br>あこがれる
独身	bachelorhood; single; unmarried; celibate<br><br>どくしん
寂しい	lonely; lonesome; solitary; desolate<br><br>さびしい
宣伝	propaganda; publicity<br><br>せんでん
敬語	honorific language<br><br>けいご
八重歯	double tooth<br><br>やえば
禁物	taboo; forbidden thing<br><br>きんもつ
言い切る	to declare; to assert; to state definitively<br><br>いいきる
歯列	row of teeth<br><br>しれつ
嫌悪	disgust; hate; repugnance<br><br>けんお
衛生的	hygienic; sanitary<br><br>えいせいてき
幸せ	happiness; good fortune; luck; blessing<br><br>しあわせ
物差	ruler; measure<br><br>ものさし
傾く	to incline toward; to slant; to lurch; to heel over; to be disposed to; to trend toward; to be prone to; to go down (sun); to wane; to sink; to decline<br><br>かたむく
唯一	only; sole; unique<br><br>ゆいいつ、ゆいつ
飽きる	to lose interest in; to have enough<br><br>あきる
幸い	happiness; blessedness<br><br>さいわい
早速	at once; immediately; without delay; promptly<br><br>さっそく
直ぐに	instantly; immediately すぐに<br><br>すぐに
決断	decision; determination<br><br>けつだん
頻繁	frequent; incessant<br><br>ひんぱん
紛失	losing something 熟語<br><br>ふんしつ
疑問	question; problem; doubt; guess<br><br>ぎもん
投稿	contribution; submission; posting (e.g. to a newsgroup ormailing list)<br><br>とうこう
参照	bibliographical reference; consultation; browsing (e.g. when selecting a file to upload on a computer)<br><br>さんしょう
常に	always; constantly<br />漢字二字<br><br>つねに
購読	subscription (e.g. magazine)<br><br>こうどく
弊社	our firm (company)<br><br>へいしゃ
激怒	rage; indignation; exasperation<br><br>げきど
更新	renewal; update (e.g. blog)<br><br>こうしん
激しい	violent; vehement; intense; furious; tempestuous<br>い形容詞<br><br>はげしい
泡	bubble; foam; froth; head on beer<br><br>あぶく、 あわ
勘違い	misunderstanding; wrong guess<br>3<br><br>かんちがい
過剰摂取	overdose; excessive consumption<br><br>かじょうせっしゅ
曰く	to say; to reason; pretext<br><br>いわく
増加	increase; increment; addition<br><br>ぞうか
糖尿病	diabetes mellitus; sugar diabetes<br><br>とうにょうびょう
健康	health; sound; wholesome<br><br>けんこう
率いる	to lead; to spearhead (a group); to command (troops)<br><br>ひきいる
確認	confirmation<br><br>かくにん
終了	end; close; termination<br><br>しゅうりょう
購入	purchase; buy 熟語<br><br>こうにゅう
店舗	shop; store　てんぽ<br><br>てんぽ
在庫	inventory; stockpile; stock<br><br>ざいこ
増える	to increase; to multiply<br><br>ふえる
仮定	assumption; supposition; hypothesis<br><br>かてい
怖い	scary; frightening; eerie; dreadful; (I'm) afraid<br><br>こわい
謳う	to stipulate<br><br>うたう
無表情	expressionless<br><br>むひょうじょう
浮かぶ	to float; to be suspended; to rise to surface; to come to mind; to have inspiration<br><br>うかぶ
滞在	stay; sojourn<br><br>たいざい
手軽	easy; simple; informal; offhand; cheap<br><br>てがる
雑貨店	general (variety) store (shop)<br><br>ざっかてん
給料	salary; wages<br><br>きゅうりょう
暇	free time; leisure; leave; spare time; farewell<br><br>ひま
捲る	to turn over; to turn pages of a book; to tear off; to strip off<br><br>めくる
大統領	president<br><br>だいとうりょう
収める	to dedicate; to make an offering; to pay (fees); to supply; to store; to finish; to bring to a close; to restore (something to its place); to achieve (e.g. a result)<br><br>おさめる
汽船	steamship; steamboat; steamer<br><br>きせん
衝撃	shock; crash; impact; ballistic<br><br>しょうげき
後者	the latter<br><br>こうしゃ
危うく	almost; nearly; in imminent danger of<br><br>あやうく
落とす	to drop; to lose; to let fall; to clean off (dirt, makeup, paint, etc.); to remove (e.g. stains); to download<br><br>おとす
冷淡	coolness; indifference<br><br>れいたん
高慢	haughty; arrogant; proud<br><br>こうまん
如何なる	any kind of (with neg. verb)<br><br>いかなる
賞賛	praise; admiration; commendation; approbation<br><br>しょうさん
手口	modus operandi; criminal technique; trick<br><br>てぐち
成功	success; hit<br><br>せいこう
費やす	to spend; to devote; to waste<br><br>ついやす
束縛	restraint; shackles; restriction; confinement; binding<br><br>そくばく
奇抜	novel; original; striking; strange; eccentric; fantastic<br><br>きばつ
溢れる	to overflow; to brim over; to flood<br><br>あふれる
呼び鈴	bell (used for summoning or signalling); buzzer<br><br>よびりん
音量	volume (sound)<br><br>おんりょう
響く	to resound<br><br>ひびく
乱打	hitting; battering<br><br>らんだ
拳	fist<br><br>こぶし
騒々しい	noisy; boisterous<br><br>そうぞうしい
駈ける	to run (race, esp. horse); to dash; to gallop (one's horse); to canter; to advance (against one's enemy)<br><br>かける
猛スピード	great speed; recklessly fast speed<br><br>もうスピード
踏み鳴らす	to stamp one's feet<br><br>ふみならす
一瞬	moment; instant ("blink of an eye")<br><br>いっしゅん
血走る	to become bloodshot<br><br>ちばしる
狂乱	frenzy; madness<br><br>きょうらん
青ざめる	to become pale; to turn pale<br><br>あおざめる
乱れ	disorder; disturbance; unrest<br><br>みだれ
息	breath; breathing; tone; mood<br><br>いき
代る代る	alternately; by turns<br><br>かわるがわる
問いかける	to ask a question<br><br>といかける
眼差し	(a) look ("a indrepta privirea"?)<br><br>まなざし
外す	to unfasten; to undo; to remove; to take off; to deinstall; to leave; to step out; to slip away; to miss (a target)<br><br>はずす
謝罪	apology<br><br>しゃざい
叫ぶ	to shout; to cry<br><br>さけぶ
責める	to condemn; to blame; to criticize; to criticise<br><br>せめる
不幸	unhappiness; sorrow; misfortune; disaster; accident; death<br><br>ふこう
原因	cause; origin; source<br><br>げんいん
様子	aspect; state; appearance<br><br>ようす
観る	to watch (TV, opera)<br><br>みる
